date,morning,daytime,evening
01.06.2019,,15.562,
02.06.2019,,12.25,
03.06.2019,,,23.938
04.06.2019,,25.109,23.979
05.06.2019,,28.134,24.952
06.06.2019,,29.706,25.124
07.06.2019,23.041,30.578,23.799
08.06.2019,25.239,30.644,25.948
09.06.2019,25.794,19.64,17.017
10.06.2019,,20.458,18.46
11.06.2019,,22.541,18.671
12.06.2019,14.536,15.036,12.836
13.06.2019,,,16.143
14.06.2019,,15.0,14.296
15.06.2019,,16.182,15.233
16.06.2019,,21.76,18.341
17.06.2019,,,
18.06.2019,,22.693,18.596
19.06.2019,,24.073,22.004
20.06.2019,23.89,28.463,26.021
21.06.2019,,27.234,25.048
22.06.2019,19.625,23.531,16.827
23.06.2019,17.844,21.599,18.343
24.06.2019,15.781,23.578,19.648
25.06.2019,,22.963,19.039
26.06.2019,16.271,19.62,17.362
27.06.2019,14.46,20.474,17.071
28.06.2019,13.375,19.969,13.627
29.06.2019,30.724,18.619,15.185
30.06.2019,31.567,20.432,14.669
01.07.2019,,,14.0
02.07.2019,25.13,19.364,13.883
03.07.2019,23.807,16.192,13.552
04.07.2019,18.187,17.5,11.06
05.07.2019,20.656,14.359,10.473
06.07.2019,14.646,15.692,8.585
07.07.2019,18.416,19.031,16.959
08.07.2019,,21.109,15.966
09.07.2019,13.333,13.812,11.847
10.07.2019,,,12.711
11.07.2019,,14.948,12.219
12.07.2019,,15.562,12.064
13.07.2019,,15.198,12.393
14.07.2019,11.479,17.958,14.131
15.07.2019,12.328,18.156,16.502
16.07.2019,13.386,21.646,18.1
17.07.2019,14.828,18.854,16.154
18.07.2019,15.437,16.786,15.506
19.07.2019,15.161,17.646,16.491
20.07.2019,16.088,23.406,20.579
21.07.2019,17.26,25.416,21.018
22.07.2019,16.62,25.63,21.339
23.07.2019,17.338,26.625,21.71
24.07.2019,15.969,24.411,17.227
25.07.2019,,23.284,20.946
26.07.2019,,28.041,25.587
27.07.2019,22.094,31.833,28.171
28.07.2019,,21.042,15.727
29.07.2019,9.104,18.245,12.835
30.07.2019,10.864,15.875,10.494
31.07.2019,8.854,11.198,11.131
01.08.2019,11.463,16.385,13.573
02.08.2019,13.307,17.552,14.785
03.08.2019,11.047,15.614,11.844
04.08.2019,10.515,16.583,13.912
05.08.2019,11.276,20.817,13.377
06.08.2019,9.392,21.984,13.171
07.08.2019,9.094,19.052,14.087
08.08.2019,13.307,21.724,18.246
09.08.2019,14.859,19.937,16.956
10.08.2019,13.995,20.823,15.671
11.08.2019,12.656,19.948,17.283
12.08.2019,15.39,21.755,18.093
13.08.2019,15.396,24.047,18.35
14.08.2019,13.094,21.401,16.514
15.08.2019,12.885,20.468,15.604
16.08.2019,12.599,21.833,15.596
17.08.2019,10.708,22.729,18.608
18.08.2019,12.151,22.698,18.362
19.08.2019,13.177,22.416,20.612
20.08.2019,16.224,23.729,18.212
21.08.2019,12.708,20.182,16.46
22.08.2019,14.26,21.286,16.793
23.08.2019,13.62,20.458,17.381
24.08.2019,15.302,20.078,15.906
25.08.2019,11.515,21.89,15.654
26.08.2019,12.375,19.302,17.91
27.08.2019,13.635,24.64,17.987
28.08.2019,10.953,23.323,18.879
29.08.2019,12.396,,
