date,morning,daytime,evening
01.06.2019,,15.562,
02.06.2019,,12.25,
03.06.2019,,,23.938
04.06.2019,,25.437,23.979
05.06.2019,,29.062,24.952
06.06.2019,,31.375,25.124
07.06.2019,23.041,31.687,23.799
08.06.2019,25.239,31.562,25.948
09.06.2019,25.794,20.437,17.017
10.06.2019,,21.312,18.46
11.06.2019,,23.25,18.671
12.06.2019,14.536,16.062,12.836
13.06.2019,,,16.143
14.06.2019,,15.687,14.296
15.06.2019,,16.437,15.233
16.06.2019,,22.812,18.341
17.06.2019,,,
18.06.2019,,23.437,18.596
19.06.2019,,24.875,22.004
20.06.2019,23.89,29.625,26.021
21.06.2019,,27.75,25.048
22.06.2019,19.625,24.125,16.827
23.06.2019,17.844,22.187,18.343
24.06.2019,15.781,24.375,19.648
25.06.2019,,24.625,19.039
26.06.2019,16.271,20.5,17.362
27.06.2019,14.46,21.75,17.071
28.06.2019,13.375,21.187,13.627
29.06.2019,30.724,19.75,15.185
30.06.2019,31.567,21.062,14.669
01.07.2019,,,14.0
02.07.2019,25.13,20.562,13.883
03.07.2019,23.807,17.062,13.552
04.07.2019,18.187,19.0,11.06
05.07.2019,20.656,14.937,10.473
06.07.2019,14.646,17.0,8.585
07.07.2019,18.416,19.375,16.959
08.07.2019,,22.312,15.966
09.07.2019,13.333,14.187,11.847
10.07.2019,,,12.711
11.07.2019,,16.187,12.219
12.07.2019,,17.062,12.064
13.07.2019,,18.687,12.393
14.07.2019,11.479,19.687,14.131
15.07.2019,12.328,20.312,16.502
16.07.2019,13.386,22.312,18.1
17.07.2019,14.828,19.812,16.154
18.07.2019,15.437,17.437,15.506
19.07.2019,15.161,18.187,16.491
20.07.2019,16.088,23.937,20.579
21.07.2019,17.26,27.187,21.018
22.07.2019,16.62,27.937,21.339
23.07.2019,17.338,27.25,21.71
24.07.2019,15.969,26.062,17.227
25.07.2019,,25.437,20.946
26.07.2019,,29.062,25.587
27.07.2019,22.094,32.312,28.171
28.07.2019,,21.75,15.727
29.07.2019,9.104,19.187,12.835
30.07.2019,10.864,16.812,10.494
31.07.2019,8.854,11.625,11.131
01.08.2019,11.463,16.75,13.573
02.08.2019,13.307,18.312,14.785
03.08.2019,11.047,16.812,11.844
04.08.2019,10.515,17.062,13.912
05.08.2019,11.276,21.75,13.377
06.08.2019,9.392,22.812,13.171
07.08.2019,9.094,20.187,14.087
08.08.2019,13.307,23.125,18.246
09.08.2019,14.859,20.25,16.956
10.08.2019,13.995,22.187,15.671
11.08.2019,12.656,20.562,17.283
12.08.2019,15.39,22.312,18.093
13.08.2019,15.396,24.5,18.35
14.08.2019,13.094,23.437,16.514
15.08.2019,12.885,21.562,15.604
16.08.2019,12.599,23.187,15.596
17.08.2019,10.708,24.0,18.608
18.08.2019,12.151,23.562,18.362
19.08.2019,13.177,23.375,20.612
20.08.2019,16.224,24.75,18.212
21.08.2019,12.708,20.687,16.46
22.08.2019,14.26,22.062,16.793
23.08.2019,13.62,21.0,17.381
24.08.2019,15.302,20.687,15.906
25.08.2019,11.515,22.687,15.654
26.08.2019,12.375,19.812,17.91
27.08.2019,13.635,25.5,17.987
28.08.2019,10.953,23.812,18.879
29.08.2019,12.396,,
